group_id,model,target_UTS,eval_idx,loss
2,physics,191.8555654585095,1,4494.370225845504
2,physics,191.8555654585095,2,4494.370230164088
2,physics,191.8555654585095,3,4494.370226027523
2,physics,191.8555654585095,4,4048.860653685793
2,physics,191.8555654585095,5,4048.860653097975
2,physics,191.8555654585095,6,4048.860653674323
2,physics,191.8555654585095,7,2459.9433559622034
2,physics,191.8555654585095,8,2459.943355378857
2,physics,191.8555654585095,9,2459.943355939852
2,physics,191.8555654585095,10,65.62087765154007
2,physics,191.8555654585095,11,65.62087764496916
2,physics,191.8555654585095,12,65.62087764259635
2,physics,191.8555654585095,13,63.530864058602106
2,physics,191.8555654585095,14,63.5308640553694
2,physics,191.8555654585095,15,63.53086405159798
2,physics,191.8555654585095,16,59.07360675962743
2,physics,191.8555654585095,17,59.073606760839816
2,physics,191.8555654585095,18,59.073606752354
2,physics,191.8555654585095,19,39.49853596608847
2,physics,191.8555654585095,20,39.498535980249095
2,physics,191.8555654585095,21,39.4985359614153
2,baseline,191.8555654585095,1,397.15741986344676
2,baseline,191.8555654585095,2,397.15741996682124
2,baseline,191.8555654585095,3,397.15741985254334
2,baseline,191.8555654585095,4,293.3012463598656
2,baseline,191.8555654585095,5,293.30124645397217
2,baseline,191.8555654585095,6,293.3012463493391
2,baseline,191.8555654585095,7,110.91563933606363
2,baseline,191.8555654585095,8,110.91563926066304
2,baseline,191.8555654585095,9,110.91563933363908
2,baseline,191.8555654585095,10,16.30939836608146
2,baseline,191.8555654585095,11,16.309398371180023
2,baseline,191.8555654585095,12,16.30939836344265
2,baseline,191.8555654585095,13,14.611081669888488
2,baseline,191.8555654585095,14,14.611081672830254
2,baseline,191.8555654585095,15,14.611081667517302
2,baseline,191.8555654585095,16,12.585564272418775
2,baseline,191.8555654585095,17,12.585564271816825
2,baseline,191.8555654585095,18,12.585564270407838
2,baseline,191.8555654585095,19,11.485160502052317
2,baseline,191.8555654585095,20,11.48516050016251
2,baseline,191.8555654585095,21,11.485160500250737
13,physics,224.259948566767,1,9889.198127004907
13,physics,224.259948566767,2,9889.198133410915
13,physics,224.259948566767,3,9889.198127274905
13,physics,224.259948566767,4,977.4871752681454
13,physics,224.259948566767,5,977.4871749881283
13,physics,224.259948566767,6,977.4871752692028
13,physics,224.259948566767,7,718.9787715918277
13,physics,224.259948566767,8,718.9787713139151
13,physics,224.259948566767,9,718.9787715909208
13,physics,224.259948566767,10,36.15913895975685
13,physics,224.259948566767,11,36.159138890928936
13,physics,224.259948566767,12,36.15913895894402
13,physics,224.259948566767,13,5.192884718090553
13,physics,224.259948566767,14,5.192884742222649
13,physics,224.259948566767,15,5.192884718604026
13,physics,224.259948566767,16,0.03453586762695721
13,physics,224.259948566767,17,0.03453586970383021
13,physics,224.259948566767,18,0.034535867668831655
13,physics,224.259948566767,19,0.0001939478664374005
13,physics,224.259948566767,20,0.00019394771299483738
13,physics,224.259948566767,21,0.0001939478617303637
13,baseline,224.259948566767,1,155.63995452337505
13,baseline,224.259948566767,2,155.6399544586619
13,baseline,224.259948566767,3,155.63995453020067
13,baseline,224.259948566767,4,117.3969597828886
13,baseline,224.259948566767,5,117.3969597305379
13,baseline,224.259948566767,6,117.39695978853392
13,baseline,224.259948566767,7,30.460534369874914
13,baseline,224.259948566767,8,30.460534355224276
13,baseline,224.259948566767,9,30.460534372400712
13,baseline,224.259948566767,10,18.6495586913185
13,baseline,224.259948566767,11,18.64955868414241
13,baseline,224.259948566767,12,18.649558693155175
