split,d_mae,d_rmse,phi_mae,phi_rmse
train,1.0929949994747,1.3538627053673735,0.0028004228878677783,0.005387588964285364
test,2.1547321495080802,2.276316805677918,0.2397823048140867,0.2421774457861038
