group_id,model,target_UTS,P0,v0,P_star,v_star,pred_UTS_star,abs_dev_target,input_shift_from_x0,input_shift_from_group_point,n_iters,success,final_loss
2,baseline,191.8555654585095,277.3076923076923,984.6153846153846,197.45469125405972,1015.3510352333188,195.24454177917806,3.3889763206685757,85.56390591937215,218.5839021359969,6,False,11.485160502052317
2,physics,191.8555654585095,277.3076923076923,984.6153846153846,206.25817586501336,1030.4204749072705,198.14035153013424,6.284786071624751,84.53484537979784,235.01790163911048,5,False,39.49853596608847
13,baseline,224.259948566767,277.3076923076923,984.6153846153846,344.6476879801481,957.2178320694944,221.1680748402898,3.0918737264772176,72.70007498394466,2042.8398564496463,6,False,9.559683140480116
13,physics,224.259948566767,277.3076923076923,984.6153846153846,115.93505883248494,962.2528849726583,224.2738750834326,0.01392651666560596,162.9147268511799,2052.3111363312723,5,False,0.0001939478664374005
18,baseline,218.20565140402385,277.3076923076923,984.6153846153846,307.4085335773785,980.8132877058569,218.2043458647566,0.0013055392672640664,30.340016250033255,1477.0896219277554,6,False,1.7044327783683954e-06
18,physics,218.20565140402385,277.3076923076923,984.6153846153846,127.36882839980281,964.5839394514244,218.20944487991878,0.0037934758949234038,151.27102070570345,1522.2037870323966,5,False,1.4390459365364919e-05
21,baseline,222.7159853400751,277.3076923076923,984.6153846153846,340.7457246052836,964.2853094865084,221.025533447804,1.690451892271085,66.61603332934189,726.1528405582379,6,False,2.8576276000828917
21,physics,222.7159853400751,277.3076923076923,984.6153846153846,118.75866080701523,963.1827487203867,222.7215860290077,0.005600688932617004,159.99110372520795,718.995559826412,5,False,3.1367716519938596e-05
27,baseline,227.66024534236854,277.3076923076923,984.6153846153846,351.3539563934071,936.15586916473,221.54243217416283,6.117813168205714,88.49391991975295,436.2415572557115,6,False,37.42763796107124
27,physics,227.66024534236854,277.3076923076923,984.6153846153846,109.91593893016137,960.3919348516176,227.6633929430098,0.0031476006412560764,169.13537364271818,523.9301206054095,5,False,9.907389796835663e-06
30,baseline,225.73580124858282,277.3076923076923,984.6153846153846,347.84351573594654,949.0995650315605,221.30822189217102,4.427579356411798,78.97262707680811,203.0554483953747,6,False,19.60345895732391
30,physics,225.73580124858282,277.3076923076923,984.6153846153846,113.2913237700164,961.8836743074573,225.74587645295048,0.010075204367666402,165.58411699740486,188.57065536673176,5,False,0.00010150974305024413
